,cod,nombre,provincia,region,superficie,poblacion,idh
0,15101,Arica,Arica,Arica y Parinacota,4799.4,210936,0.384
1,15102,Camarones,Arica,Arica y Parinacota,3927.0,679,0.7509999999999999
2,15201,Putre,Parinacota,Arica y Parinacota,5902.5,1462,0.7070000000000001
3,15202,General Lagos,Parinacota,Arica y Parinacota,2244.4,739,0.67
4,1101,Iquique,Iquique,Tarapacá,2242.1,184953,0.7659999999999999
5,1107,Alto Hospicio,Iquique,Tarapacá,572.9,94455,
6,1401,Pozo Almonte,Tamarugal,Tarapacá,13765.8,11519,0.722
7,1402,Camiña,Tamarugal,Tarapacá,2200.2,1156,0.619
8,1403,Colchane,Tamarugal,Tarapacá,4015.6,1384,0.603
9,1404,Huara,Tamarugal,Tarapacá,10474.6,2360,0.6759999999999999
10,1405,Pica,Tamarugal,Tarapacá,8934.3,4194,0.7929999999999999
11,2101,Antofagasta,Antofagasta,Antofagasta,30718.1,348669,0.7340000000000001
12,2102,Mejillones,Antofagasta,Antofagasta,3803.9,9752,0.73
13,2103,Sierra Gorda,Antofagasta,Antofagasta,12886.0,1206,0.789
14,2104,Taltal,Antofagasta,Antofagasta,20405.1,13493,0.716
15,2201,Calama,El Loa,Antofagasta,15596.9,147886,0.757
16,2202,Ollagüe,El Loa,Antofagasta,2964.0,332,0.679
17,2203,San Pedro de Atacama,El Loa,Antofagasta,23439.0,5605,0.711
18,2301,Tocopilla,Tocopilla,Antofagasta,4038.8,20091,0.69
19,2302,María Elena,Tocopilla,Antofagasta,12197.0,4593,0.779
20,3101,Copiapó,Copiapó,Atacama,16681.3,158261,0.725
21,3102,Caldera,Copiapó,Atacama,4666.6,16150,0.741
22,3103,Tierra Amarilla,Copiapó,Atacama,11191.0,13912,0.6859999999999999
23,3201,Chañaral,Chañaral,Atacama,5772.0,14146,0.7140000000000001
24,3202,Diego de Almagro,Chañaral,Atacama,18664.0,16452,0.789
25,3301,Vallenar,Huasco,Atacama,7084.0,52099,0.731
26,3302,Alto del Carmen,Huasco,Atacama,5939.0,5488,0.664
27,3303,Freirina,Huasco,Atacama,3207.9,6531,0.693
28,3304,Huasco,Huasco,Atacama,1601.4,9015,0.695
29,4101,La Serena,Elqui,Coquimbo,1892.8,211275,0.7809999999999999
30,4102,Coquimbo,Elqui,Coquimbo,1429.0,202441,0.731
31,4103,Andacollo,Elqui,Coquimbo,310.0,11116,0.675
32,4104,La Higuera,Elqui,Coquimbo,4158.2,4331,0.67
33,4105,Paihuano,Elqui,Coquimbo,1495.0,4252,0.7340000000000001
34,4106,Vicuña,Elqui,Coquimbo,7610.0,26029,0.716
35,4201,Illapel,Choapa,Coquimbo,2629.0,30598,0.667
36,4202,Canela,Choapa,Coquimbo,2196.6,9182,0.644
37,4203,Los Vilos,Choapa,Coquimbo,1823.8,18483,0.675
38,4204,Salamanca,Choapa,Coquimbo,3445.0,25671,0.6759999999999999
39,4301,Ovalle,Limarí,Coquimbo,3835.0,112956,0.725
40,4302,Combarbalá,Limarí,Coquimbo,2257.5,13818,0.6609999999999999
41,4303,Monte Patria,Limarí,Coquimbo,4366.9,30137,0.653
42,4304,Punitaqui,Limarí,Coquimbo,1339.0,10418,0.653
43,4305,Río Hurtado,Limarí,Coquimbo,2180.0,4149,0.653
44,5101,Valparaíso,Valparaíso,Valparaíso,401.6,308137,0.701
45,5102,Casablanca,Valparaíso,Valparaíso,953.0,25165,0.7120000000000001
46,5103,Concón,Valparaíso,Valparaíso,76.0,63210,0.7809999999999999
47,5104,Juan Fernández,Valparaíso,Valparaíso,149.4,792,0.7440000000000001
48,5105,Puchuncaví,Valparaíso,Valparaíso,300.0,16371,0.7340000000000001
49,5107,Quintero,Valparaíso,Valparaíso,148.0,28066,0.733
50,5109,Viña del Mar,Valparaíso,Valparaíso,121.6,311399,0.7659999999999999
